month,FFMC,DMC,DC,ISI,temp,RH,wind,rain,fire
8,90.6,269.8,811.2,2.34520788,22.2,45,3.6,,0
7,90.8,84.7,376.6,2.366431913,23.8,51,1.8,,0
8,92.1,207,672.6,2.863564213,26.8,35,1.3,,0
8,89.4,253.6,768.4,3.1144823,14.2,73,2.7,,0
8,93.7,231.1,715.1,2.898275349,23.6,53,4,,1
9,91.1,91.3,738.1,2.683281573,19.1,46,2.2,,0
9,90.3,290,855.3,2.720294102,16.2,58,3.6,,0
8,92.1,207,672.6,2.863564213,25.5,29,1.8,,0
4,87.9,24.9,41.6,1.923538406,10.9,64,3.1,,1
7,90.7,80.9,368.3,4.098780306,14.8,78,8,,0
9,90.3,290,855.3,2.720294102,16.2,58,3.6,,1
8,94,47.9,100.7,3.271085447,17.3,80,4.5,,0
8,92,203.2,664.5,2.846049894,19.1,70,2.2,,0
3,93.4,17.3,28.3,3.146426545,8.9,35,8,,0
9,89.7,284.9,844,3.178049716,10.5,77,4,,0
8,91.6,181.3,613,2.75680975,19.3,61,4.9,,0
8,95.2,217.7,690,4.242640687,23.4,49,5.4,,1
8,90.5,196.8,649.9,4.037325848,11.8,88,4.9,,1
8,91.5,238.2,730.6,2.738612788,17.7,65,4,,0
8,89.4,266.2,803.3,2.366431913,17.4,54,3.1,,0
8,91.6,248.4,753.8,2.50998008,16.8,56,3.1,,0
7,94.6,160,567.2,4.086563348,17.9,48,2.7,,0
8,91.6,248.4,753.8,2.50998008,16.6,59,2.7,,0
8,91.7,191.4,635.9,2.792848009,19.9,50,4,,1
8,93.7,231.1,715.1,2.898275349,18.9,64,4.9,,1
8,91.6,273.8,819.1,2.774887385,15.5,72,8,,0
8,93.7,231.1,715.1,2.898275349,18.9,64,4.9,,0
8,93.7,231.1,715.1,2.898275349,18.9,64,4.9,,0
9,91,276.3,825.1,2.664582519,14.5,76,7.6,,1
2,75.1,4.4,16.2,1.378404875,4.6,82,6.3,,1
2,75.1,4.4,16.2,1.378404875,5.1,77,5.4,,0
2,79.5,3.6,15.3,1.341640786,4.6,59,0.9,,1
3,87.2,15.1,36.9,2.664582519,10.2,45,5.8,,1
3,90.2,18.5,41.1,2.701851217,11.2,41,5.4,,1
3,91.3,20.6,43.5,2.915475947,13.3,27,3.6,,1
4,91,14.6,25.6,3.507135583,13.7,33,9.4,,1
4,91,14.6,25.6,3.507135583,17.6,27,5.8,,0
5,89.6,25.4,73.7,2.387467277,18,40,4,,1
6,88.2,96.2,229,2.167948339,14.3,79,4,,0
6,90.5,61.1,252.6,3.065941943,24.5,50,3.1,,1
6,93,103.8,316.7,3.286335345,26.4,35,2.7,,1
6,93.7,121.7,350.2,4.242640687,22.7,40,9.4,,1
7,93.5,85.3,395,3.146426545,27.2,28,1.3,,0
7,93.7,101.3,423.4,3.834057903,26.1,45,4,,1
7,93.7,101.3,423.4,3.834057903,18.2,82,4.5,,0
7,89.2,103.9,431.6,2.529822128,22.6,57,4.9,,1
7,93.2,114.4,560,3.082207001,30.2,25,4.5,,0
7,93.2,114.4,560,3.082207001,30.2,22,4.9,,0
8,94.9,130.3,587.1,3.754996671,23.4,40,5.8,,0
8,94.9,130.3,587.1,3.754996671,31,27,5.4,,0
8,94.9,130.3,587.1,3.754996671,33.1,25,4,,1
8,95,135.5,596.3,4.615192304,30.6,28,3.6,,0
8,95.1,141.3,605.8,4.207136794,24.1,43,6.3,,0
8,95.1,141.3,605.8,4.207136794,26.4,34,3.6,,1
8,95.1,141.3,605.8,4.207136794,19.4,71,7.6,,1
8,95.1,141.3,605.8,4.207136794,20.6,58,1.3,,0
8,95.1,141.3,605.8,4.207136794,28.7,33,4,,0
8,95.8,152,624.1,3.714835124,32.4,21,4.5,,0
8,95.9,158,633.6,3.361547263,32.4,27,2.2,,0
8,95.9,158,633.6,3.361547263,27.5,29,4.5,,1
8,96,164,643,3.741657387,30.8,30,4.9,,1
8,96.2,175.5,661.8,4.098780306,23.9,42,2.2,,0
8,96.2,175.5,661.8,4.098780306,32.6,26,3.1,,0
8,96.1,181.1,671.2,3.78153408,32.3,27,2.2,,1
8,96.1,181.1,671.2,3.78153408,33.3,26,2.7,,1
8,96.1,181.1,671.2,3.78153408,27.3,63,4.9,1.85629799,1
8,96.1,181.1,671.2,3.78153408,21.6,65,4.9,-0.223143551,0
8,96.1,181.1,671.2,3.78153408,21.6,65,4.9,-0.223143551,0
8,96.1,181.1,671.2,3.78153408,20.7,69,4.9,-0.916290732,0
8,94.5,139.4,689.1,4.472135955,29.2,30,4.9,,0
8,94.5,139.4,689.1,4.472135955,28.9,29,4.9,,1
8,91,163.2,744.4,3.178049716,26.7,35,1.8,,1
8,91,166.9,752.6,2.664582519,18.5,73,8.5,,0
8,91,166.9,752.6,2.664582519,25.9,41,3.6,,0
8,91,166.9,752.6,2.664582519,25.9,41,3.6,,0
8,91,166.9,752.6,2.664582519,21.1,71,7.6,0.336472237,0
8,91,166.9,752.6,2.664582519,18.2,62,5.4,,0
